filename;author;title;style;genre;date
58737.jpg;40f86d376acde0d9862ce7493745bdae;A Soft Watch Put in the Appropriate Place to Cause a Young Ephebe to Die and Be Resuscitated by Excess of Satisfaction (unfinished);Neoclassicism;symbolic painting;1979
48458.jpg;40f86d376acde0d9862ce7493745bdae;Dawn, Noon, Sunset and Dusk;Surrealism;symbolic painting;1979
39868.jpg;40f86d376acde0d9862ce7493745bdae;Autumn Sonata;Surrealism;genre painting;1945
5059.jpg;40f86d376acde0d9862ce7493745bdae;Study for Sentimental Colloquy;Surrealism;sketch and study;1944
68185.jpg;40f86d376acde0d9862ce7493745bdae;Tristan and Isolde;Surrealism;literary painting;1944
1974.jpg;40f86d376acde0d9862ce7493745bdae;The Enigma of William Tell;Surrealism;symbolic painting;1933
11030.jpg;40f86d376acde0d9862ce7493745bdae;Design for Set Curtain for Labyrinth I;Surrealism;design;1941
40791.jpg;40f86d376acde0d9862ce7493745bdae;Decor for 'Romeo et Juliet';Surrealism;design;1942
41080.jpg;40f86d376acde0d9862ce7493745bdae;Invention of the Monsters;Surrealism;symbolic painting;1937
26340.jpg;40f86d376acde0d9862ce7493745bdae;Queen Salome;Surrealism;religious painting;1937
69040.jpg;40f86d376acde0d9862ce7493745bdae;Paranoiac Critical Solitude;Surrealism;landscape;1935
53696.jpg;40f86d376acde0d9862ce7493745bdae;Allegory of Spring;Surrealism;allegorical painting;1978
60828.jpg;40f86d376acde0d9862ce7493745bdae;The Sacrament of the Last Supper;Surrealism;religious painting;1955
20739.jpg;40f86d376acde0d9862ce7493745bdae;Eucharistic Still Life;Surrealism;still life;1952
27785.jpg;40f86d376acde0d9862ce7493745bdae;Dali Combat;Surrealism;symbolic painting;1955
50682.jpg;40f86d376acde0d9862ce7493745bdae;The Invisible Man;Surrealism;interior;1932
56109.jpg;40f86d376acde0d9862ce7493745bdae;The Old Age of William Tell;Surrealism;allegorical painting;1931
6946.jpg;40f86d376acde0d9862ce7493745bdae;The Three Ages;Surrealism;allegorical painting;
9287.jpg;40f86d376acde0d9862ce7493745bdae;Illumined Pleasures;Surrealism;symbolic painting;1929
